HERBACEOUS	ER0BEY1SHAH0S
ILYARONOFF	IH1LYAA0RAO1NAO0F
SABATKA	SAA0BAA1TKAH0
BEGIN'S	BIH0GIH1NZ
VIROLOGISTS	VIH0RAA1LAH0JHIH0STS
IMMIGRATION	IH2MAH0GREY1SHAH0N
PHLCORP	PIY1EY1CHEH1LKAO1RP
WORD'S	WER1DZ
SALWEN	SAE1LWAH0N
CARAVAN(1)	KEH1RAH0VAE2N
AKINS(1)	EY1KIH0NZ
STARGAZER	STAA1RGEY2ZER0
CULLUM	KAH1LAH0M
THABO	THEY1BOW0
PERKING	PER1KIH0NG
HOAGY	HHOW1GIY0
NORTHINGTON	NAO1RTHIH0NGTAH0N
STEMS	STEH1MZ
TEANECK	TIY1NEH2K
CONSPIRATORS	KAH0NSPIH1RAH0TER0Z
ENCARTA(1)	EH0NKAA1RTAH0
ALBERS	AO1LBER0Z
SHROPSHIRE	SHRAA1PSHAY2R
GOVERNMENT'S	GAH1VER0NMAH0NTS
GLANCY	GLAE1NSIY0
NICE(1)	NIY1S
TASTY	TEY1STIY0
DECLAIM	DIH0KLEY1M
GIAP	JHIY0AE1P
JOHANN	YOW1HHAA0N
TIGHTENS	TAY1TAH0NZ
SUPERSONICS	SUW2PER0SAA1NIH0KS
HANNEY	HHAE1NIY0
WIELDS	WIY1LDZ
KOSHERING	KOW1SHER0IH0NG
RECORDINGS	RIH0KAO1RDIH0NGZ
MIEN	MIY1N
WEEKLIES	WIY1KLIY0Z
PILEUP	PAY1LAH2P
IKEA	AY2KIY1AH0
BUTTRICK	BAH1TRIH0K
NOVOTNEY	NAA1VAH0TNIY0
EASTERLIN	AH0ZTER1LIH0N
MCFAYDEN	MAH0KFEY1DAH0N
CRAVATH	KRAE1VAH0TH
BENNING	BEH1NIH0NG
VOTER	VOW1TER0
DONER	DAO1NER0
STEINERT	STAY1NER0T
MATHESON	MAE1THAH0SAH0N
DYING	DAY1IH0NG
KOMAG	KOW1MAE0G
CARDENAS	KAA0RDIY1NAH0S
BOUGHNER	BAW1NER0
SALESMAN'S	SEY1LZMAH0NZ
HOBBLED	HHAA1BAH0LD
HILLENBRAND'S	HHIH1LAH0NBRAE2NDZ
DJURDJEVIC	JHER1JHAH0VIH0K
DEMOLISHING	DIH0MAA1LIH0SHIH0NG
ALAINE	AH0LEY1N
FABRIS	FAE1BRIH0S
CLUBBY	KLAH1BIY0
PURITANICAL	PYUH2RAH0TAE1NIH0KAH0L
KNOBLOCH	NAA1BLAH0K
HORACE'S	HHAO1RAH0SAH0Z
WYMAN	WAY1MAH0N
DESHONG	DEH1SHAO0NG
LABUS	LAE1BIH0S
LIEDER	LIY1DER0
UNDERWITHHOLD	AH1NDER0WIH2THHHOW2LD
DENOTES	DIH0NOW1TS
QUADRANT	KWAA1DRAH0NT
RACED	REY1ST
PESCATORE	PEH0SKAA0TAO1RIY0
KRAL	KRAE1L
HYDROCARBON	HHAY2DROW0KAA1RBAH0N
TOURISTS	TUH1RAH0STS
BRENTS	BREH1NTS
VILLAGE(1)	VIH1LIH0JH
DRIBBLING	DRIH1BAH0LIH0NG
KOHAN	KOW1HHAA0N
ANDERT	AE1NDER0T
BERNT	BER1NT
MCKEEMAN	MAH0KIY1MAH0N
COSTUMED	KAO1STUW2MD
BENEFIELD	BEH1NAH0FIY0LD
WASHKO	VAA1SHKOW0
BARBATO	BAA0RBAA1TOW0
COMPANY	KAH1MPAH0NIY2
DOWNSIDE	DAW1NSAY2D
POETS	POW1AH0TS
DIVERGENCES	DAY0VER1JHAH0NSIH0Z
CLAMPITT	KLAH0MPIH1T
FOOTSTEP	FUH1TSTEH2P
NICKOLAS	NIH1KAO0LAH0Z
MANNERED	MAE1NER0D
CHILI	CHIH1LIY0
BECKHAM	BEH1KHHAE2M
BELANGER	BEH1LAH0NGER0
HA	HHAA1
DINARS(1)	DIH2NAA1RZ
BRACELET	BREY1SLAH0T
ETHERS	IY1THER0Z
JUDGMENTAL(1)	JHAH0JHMEH1NAH0L
SMITTY	SMIH1TIY0
GOLD'S	GOW1LDZ
INVITATIONS	IH2NVIH0TEY1SHAH0NZ
GALENICAL	GAH0LEH1NIH0KAH0L
BOURQUE	BUH1RK
GLOBULINS	GLAA1BYAH0LIH0NZ
TOPIX	TOW1PIH2KS
YEOSOCK	YOW0SAO1K
OCCASIONALLY	AO0KEY1ZHAH0NAH0LIY2
SLANT	SLAE1NT
THEILER	THAY1LER0
LIFELESS	LAY1FLAH0S
NON-CONFORMIST	NAA2NKAH0NFAO1RMIH0ST
HALBERSTAM	HHAE1LBER0STAE0M
CORRODES	KER0OW1DZ
ASSAYER	AE0SEY1ER0
MORAWSKI	MER0AA1FSKIY0
HULICK	HHYUW1LIH0K
SANSOM	SAE1NSAH0M
BANKEN	BAE1NGKAH0N
MUSOLF	MYUW1SOW2LF
LICK	LIH1K
GASEOUS	GAE1SIY0AH0S
MCENTIRE	MAE1KAH0NTAY0R
DAIMONES	DEY1MOW2NZ
BANH	BAE1N
UPRISING(1)	AH1PRAY2ZIH0NG
FREDRICK	FREH1DRIH0K
AVATAR	AE1VAH0TAA2R
WISLER(1)	WIH1SLER0
OTELLO	OW0TEH1LOW0
GEROLD	GEH1ROW0LD
CELLS	SEH1LZ
MALES	MEY1LZ
CHARRED	CHAA1RD
TAYLOE	TEY1LOW0
MONDELLI	MOW0NDEH1LIY0
FIELDCREST	FIY1LDKREH2ST
SHAATH'S	SHAA1THS
HUDA	HHUW1DAH0
RECOGNIZANCE	RIH0KAA1NAH0ZAH0NS
SUNAU	SUW1NAW0
MCCAMMON	MAH0KAE1MAH0N
DIAGNOSTEK	DAY2AH0GNAA1STEH0K
ANWYLL	AE1NWIH0L
STEEPER	STIY1PER0
MADAR	MAE1DER0
ENCRUST	EH0NKRAH1ST
TRANSMITTING	TRAE0NSMIH1TIH0NG
LOPEZ'S	LOW1PEH0ZIH0Z
GUMPP	GAH1MP
POUNDS	PAW1NDZ
EDGINGTON'S	EH1JHIH0NGTAH0NZ
SENTIMENTAL(2)	SEH2NTAH0MEH1NAH0L
DAUDELIN	DOW1DIH0LAE0N
OMISSION	OW0MIH1SHAH0N
LUSTING	LAH1STIH0NG
LEATHERS	LEH1DHER0Z
SELF-REPLICATE	SEH2LFREH1PLIH0KEY2T
ENORMOUS	IH0NAO1RMAH0S
SABATINO	SAA0BAA0TIY1NOW0
MCGLASSON	MAH0GLAE1SAH0N
RANNOW	RAE1NOW0
PELAEZ	PEY0LAA1EH0Z
NORWELL	NAO1RWEH0L
CROSSING	KRAO1SIH0NG
WEISBECKER	WAY1SBEH2KER0
KATY	KEY1TIY0
REVORD	RIH0VAO1RD
PENGUIN	PEH1NGGWAH0N
PEER	PIH1R
IRAN(1)	AY2RAE1N
INUNDATED	IH1NAH0NDEY2TIH0D
LANGLEY(1)	LAE1NGGLIY0
THINK'S	THIH1NGKS
HIP-HOP	HHIH1PHHAO2P
BLOGS	BLAO1GZ
OSCAR'S	AO1SKER0Z
STEINBECK'S	STAY1NBEH2KS
BLOWING	BLOW1IH0NG
CARMICHAEL	KAA1RMAY2KAH0L
REDDISH	REH1DIH0SH
SCHILDKNECHT	SHAY1LDKAH0NEH2KT
MIRELES	MIH0REY1LEH0S
CIGARETTES	SIH2GAH0REH1TS
NON-BELIEVERS	NAA2NBIH0LIY1VER0Z
SPRAINED	SPREY1ND
JOSTES	JHOW1STS
JANUARY	JHAE1NYUW0EH2RIY0
VANCLEVE	VAE2NKLIY1V
PERON	PER0AO1N
ARTHOTEC	AA1RTHAH0TEH0K
PRINGLE'S	PRIH1NGGAH0LZ
RESPECT(1)	RIY0SPEH1KT
CADAVER	KAH0DAE1VER0
FLAMINGO	FLAH0MIH1NGGOW0
HOMOPHOBIA	HHOW2MAH0FOW1BIY0AH0
PERVADE	PER0VEY1D
GOODHUE	GUH1DHHYUW2
FILSON	FIH1LSAH0N
ROSENTRETER	ROW1ZAH0NTREH2TER0
EURASIAN	YUH0REY1ZHIH0N
PSYCHOANALYST	SAY2KOW0AE1NAH0LAH0ST
INSTRUCTORS	IH2NSTRAH1KTER0Z
BLASTING	BLAE1STIH0NG
COMOROS	KAO0MAO1ROW2S
COLLATERALIZED	KAH0LAE1TER0AH0LAY2ZD
BUTTAFUOCO	BUW0TAH0FWOW1KOW0
PITTLE	PIH1TAH0L
HAGERMAN	HHEY1GER0MAH0N
WASH	WAA1SH
PEDIATRICS	PIY2DIY0AE1TRIH0KS
GENDRISEK'S	JHEH1DRIH0SEH2KS
INFERRED	IH2NFER1D
OKESON	OW1KIH0SAH0N
BELLAR	BEH1LER0
RESTRUCTURE	RIY0STRAH1KCHER0
AQUANAUTS	AA1KWAH0NAA2TS
LOHRMANN	LAO1RMAH0N
SLIPPAGE	SLIH1PIH0JH
CASHIER'S	KAE0SHIH1RZ
SHIPPEE	SHIH1PIY1
COURSES	KAO1RSAH0Z
KERFOOT	KER1FUH0T
SENTIMENTS	SEH1NTAH0MAH0NTS
MINCY	MIH1NSIY0
RESURFACE	RIY0SER1FAH0S
STUMPE	STAH1MP
ICONOCLASM	AY2KAA1NAH0KLAE2ZAH0M
MONICA	MAA1NIH0KAH0
CASTIGATES	KAE1STAH0GEY2TS
LINDLER	LIH1NDLER0
VOISEY	VWAA2SEY1
ROMANSKI	RAH0MAE1NSKIY0
BAGWELL	BAE1GWEH2L
DRIBBLES	DRIH1BAH0LZ
LAPSING	LAE1PSIH0NG
SUPERVISORS'	SUW1PER0VAY2ZER0Z
HIPPOCAMPUS	HHIH2POW0KAE1MPAH0S
TRESPASS	TREH1SPAE2S
GLANVILLE	GLAE1NVIH2L
BASIS(1)	BEY1SIH0S
LAISSEZ(1)	LEY1ZEY2
GENSTAR	JHEH1NSTAA2R
AGUACATE	AE1GWAH0KEY2T
GOLFER	GAA1LFER0
SUPPORTABLE	SAH0PAO1RTAH0BAH0L
DBASE	DIY1BEY2S
UNPLEASANT	AH0NPLEH1ZAH0NT
BUSHWHACKS	BUH1SHWAE2KS
GLODOWSKI	GLAH0DAO1FSKIY0
ACKNOWLEDGEMENTS	AE0KNAA1LIH0JHMAH0NTS
CONNIVANCE	KAH0NAY1VAH0NS
FRESHLY	FREH1SHLIY0
CUSTOMARILY	KAH2STAH0MEH1RAH0LIY0
NONECONOMIC	NAA2NEH2KAH0NAA1MIH0K
MAKE	MEY1K
PERCEVAL	PER0SEY0VAE1L
WEBSITE	WEH1BSAY2T
YEVLINSKY'S	YEH0VLIH1NSKIY0Z
POACH	POW1CH
PILLAGE	PIH1LIH0JH
SWASEY	SWAA1ZIY0
REPELLENT	RIH0PEH1LAH0NT
GIDNEY	GIH1DNIY0
SMETANA	SMEH1TAH0NAH0
RESULTS	RIH0ZAH1LTS
EARNHEART	ER1NHHAA2RT
READOUT	RIY1DAW2T
BILINGUAL	BAY0LIH1NGGWAH0L
EMBARGO	EH0MBAA1RGOW0
PHYSICALLY	FIH1ZIH0KAH0LIY0
PRECOOKED	PRIY0KUH1KT
MCGEACHY	MAH0GIY1CHIY0
SESIT	SEH1ZIH0T
PLAYED	PLEY1D
AGED(1)	EY1JHIH0D
WOODSHED	WUH1DSHEH2D
EMELINA	EH2MEH0LIY1NAH0
SALOME	SAH0LOW1MIY0
EVANGELIST(1)	IY0VAE1NJHAH0LIH0ST
SNOUT'S	SNAW1TS
NACHMANY	NAE1KMAH0NIY2
DENIZENS	DEH1NAH0ZAH0NZ
HAXTON	HHAE1KSTAH0N
ALBUM'S	AE1LBAH0MZ
CINEPLEX	SIH1NAH0PLEH2KS
WIKOFF	WIH1KAO0F
CERDA	CHEH1RDAH0
ALROSA(1)	AA0LROW1ZAH0
FOREWARNS	FAO0RWAO1RNZ
RELEFORD	REH1LIH0FER0D
FREIMAN	FRAY1MAH0N
MOULDING	MOW1LDIH0NG
BURSE	BER1S
FANN	FAE1N
DONIS	DOW1NIH0S
ANTITANK	AE2NTIY0TAE1NGK
MOURA	MUH1RAH0
JEKEL	JHEH1KAH0L
BILZERIAN	BIH0LZEH1RIY0AH0N
KARLE	KAA1RAH0L
EMORY'S	EH1MER0IY0Z
MEGGISON	MEH1GIH0SAH0N
FIELDED	FIY1LDIH0D
CONVEX	KAH0NVEH1KS
HELBERG	HHEH1LBER0G
THEMSELF(1)	DHAH0MSEH1LF
BISEXUAL	BAY2SEH1KSHUW0AH0L
UNCLEAR	AH0NKLIH1R
SPINNING	SPIH1NIH0NG
DUDMAN	DAH1DMAH0N
CARPING	KAA1RPIH0NG
GRAS	GRAE1S
FRANCESCA	FRAE0NCHEH1SKAH0
HOWLEY	HHAW1LIY0
SURCHARGE(1)	SER1CHAA2RJH
PREUSS	PRUW1S
WIDER	WAY1DER0
MINCERS	MIH1NSER0Z
ANTIFUNGAL	AE2NTAY2FAH1NGGAH0L
EDITING	EH1DAH0TIH0NG
METS'	MEH1TS
FORUM'S	FAO1RAH0MZ
OREGON'S	AO1RAH0GAH0NZ
BALSIGER	BAE1LSIH0GER0
BRUNETTO	BRUW0NEH1TOW0
SLIPS	SLIH1PS
BOXY	BAA1KSIY0
MORBIDLY	MAO1RBAH0DLIY0
INCEST	IH1NSEH2ST
MINIUM	MIH1NIY0AH0M
ROSENBERGER	ROW1ZAH0NBER0GER0
ULICNY	AH0LIH1KNIY0
HENNIGAR	HHEH1NIH0GER0
EDER	EH1DER0
CEBULSKI	CHIH0BAH1LSKIY0
KALNINS	KAE1LNIH0NZ
DASHWOOD	DAE1SHWUH2D
DOUDS	DAW1DZ
BLOWN	BLOW1N
REAPING	RIY1PIH0NG
CHEFS	SHEH1FS
NETTER	NEH1TER0
BULLHORN	BUH1LHHAO2RN
CHERRIER	CHEH1RIY0ER0
QIN	KIH1N
HAFTS	HHAE1FTS
BANUELOS	BAA0NWEH1LOW0Z
SILSBEE	SIH1LZBIY0
NEIGHBOR'S	NEY1BER0Z
FIDES	FAY1DZ
SCHOONERS	SKUW1NER0Z
DATAQUEST(1)	DAE1TAH0KWEH2ST
GASLIGHT	GAE1SLAY0T
YACKLEY	YAE1KLIY0
ATLER	AE1TLER0
BEGALA	BEH0GAA1LAH0
EXERT	IH0GZER1T
SKYTEL	SKAY1TEH2L
COCOZZA	KOW0KOW1TSAH0
COBBLE	KAA1BAH0L
MUSKE	MAH1SK
POSTDATED	POW2STDEY1TAH0D
NISSHIN	NIH1SHIH0N
IMPRUDENTLY	IH2MPRUW1DAH0NTLIY0
GATHINGS	GAE1THIH0NGZ
MATEWAN(1)	MEY1TWAA2N
YERBY	YER1BIY0
EDGAR	EH1DGER0
WHAM	WAE1M
GREENSTEIN	GRIY1NSTAY2N
SINDT	SIH1NT
LANCELOT	LAE1NSAH0LAA2T
BRAMLET	BRAE1MLIH0T
KIMSEY	KIH1MZIY0
PROTEIN	PROW1TIY2N
LABOSSIERE	LAE1BAH0SIY0EH0R
ROTTEN	RAA1TAH0N
OKANE	OW0KEY1N
SAVITSKY	SAH0VIH1TSKIY0
MOREHOUSE	MAO1RHHAW2S
HUCKINS	HHAH1KIH0NZ
SPOTLIGHTED	SPAA1TLAY2TIH0D
HUGHSON(2)	YUW1SAH0N
MCCUNE	MAH0KYUW1N
REGRESSIVE	RAH0GREH1SIH0V
INSCRIBING	IH2NSKRAY1BIH0NG
BOOTZ	BUW1TS
EDLEY	EH1DLIY0
PIERCED	PIH1RST
BLUNTLY	BLAH1NTLIY0
GYNECOLOGIC	GAY2NAH0KAH0LAA1JHIH0K
GILGORE	GIH2LGAO1R
SENSITIVE(1)	SEH1NSIH0TIH0V
BOERNER	BAO1RNER0
KILL	KIH1L
DOORNBOS	DAO1RNBOW0Z
CRIMINALLY	KRIH1MAH0NAH0LIY0
OBLIVIOUS	AH0BLIH1VIY0AH0S
CANCEROUS	KAE1NSER0AH0S
RAIL	REY1L
BIPARTISAN	BAY0PAA1RTIH0ZAH0N
PECTIN(1)	PEH1KTIH0N
SPHAR	SFAA1R
SLOATE	SLOW1T
ZADAR	ZEY1DAA2R
SHRINERS	SHRAY1NER0Z
DICTATORIAL	DIH2KTAH0TAO1RIY0AH0L
GOLFARB	GAO1LFAA2RB
RENZ	REH1NZ
GEODESIC	JHIY2AH0DEH1SIH0K
FARNALL	FAA1RNAH0L
LAMINER	LAE1MAH0NER0
FUTHER	FAH1DHER0
VANNEST	VAE0NIY1ST
LESCHLY	LEH1SHLIY0
SURVIVALIST	SER0VAY1VAH0LIH0ST
GENNETT	JHEH1NIH0T
SQUEAKERS	SKWIY1KER0Z
GOLUB	GOW1LAH0B
GAS'S	GAE1SIH0Z
BLOTTED	BLAA1TAH0D
KAWAGUCHI	KAA2WAA0GUW1CHIY0
WECKER	WEH1KER0
LIKENESSES	LAY1KNAH0SIH0Z
POYER	POY1ER0
LEAVENED	LEH1VAH0ND
GRADCHEV	GRAE1DCHEH0F
CLUCKING	KLAH1KIH0NG
HYPOCHONDRIAC	HHAY2PAH0KAA1NDRIY0AE0K
BUTTON	BAH1TAH0N
NATALLE	NAH0TAA1LEY0
PRALLE	PREY1L
USAGE	YUW1SAH0JH
ESCHENBACH	EH1SHIH0NBAA0K
PIONEER	PAY2AH0NIH1R
DISCONTINUANCE	DIH2SKAH0NTIH1NYUW0AH0NS
JAMAR	YAA0MAA1R
SHRAKE	SHREY1K
TEETS	TIY1TS
SEALER	SIY1LER0
L'EXPRESS	LEH2KSPREH1S
EVERTON	EH1VER0TAH0N
WHITMAN(1)	HHWIH1TMAH0N
VINCE'S	VIH1NSIH0S
KRUSEMARK	KRAH1SIH0MAA0RK
PODHORETZ	PAA1DHHER0EH0TS
VRANESEVIC	VRAA2NAH0SEH1VIH0CH
DVORACEK	DVAO1RAH0CHEH0K
HOMAGE	AA1MAH0JH
TODAY(1)	TUW0DEY1
HARGRAVES	HHAA1RGREY2VZ
HYPOCRITICAL	HHIH2PAH0KRIH1TIH0KAH0L
TIMETABLE	TAY1MTEY2BAH0L
VICTIMIZING	VIH1KTAH0MAY0ZIH0NG
DECEDENTS	DEH0SIY1DAH0NTS
STAUDE	STAO1D
NAGLE	NEY1GAH0L
PELTS	PEH1LTS
EASTWIND	IY1STWIH0ND
CHATTERING	CHAE1TER0IH0NG
GRISHAM	GRIH1SHAH0M
HIPPOCRATES(1)	HHIH0PAO1KRAH0TIY0Z
ADORNMENT	AH0DAO1RNMAH0NT
MORATH	MAO1RAH0TH
HANDKERCHIEF(1)	HHAE1NGKER0CHIY0F
PONTIFICATING	PAA0NTIH1FAH0KEY2TIH0NG
PEITZ	PIY1TS
HISTORY'S	HHIH1STER0IY0Z
FUNDRAISERS	FAH1NDREY2ZER0Z
METROPOLIS	MAH0TRAA1PAH0LAH0S
CENTRIFUGES	SEH1NTRAH0FYUW2JHIH0Z
BRAILLES	BREY1LZ
STEAD	STEH1D
ATAXIA'S	EY1TAE1KSIY0AH0Z
NECKED	NEH1KT
TINDER	TIH1NDER0
DOTSON	DAA1TSAH0N
HOHMANN	HHOW1MAH0N
HORACIO	HHAO0REY1SIY0OW0
SOILEAU	SOY2LOW1
RESIN(1)	REH1ZIH0N
PLUMB	PLAH1M
FRENZIES	FREH1NZIY0Z
BRAVING	BREY1VIH0NG
SPORN	SPAO1RN
DUCKIES	DAH1KIH2Z
THERAPEUTIC	THEH2RAH0PYUW1TIH0K
FIR	FER1
FREEFORM	FRIY1FAO2RM
KURKA	KER1KAH0
HARRISBURGH'S	HHAE1RIH0SBER0GZ
BEURY'S	BER1IY0Z
GESAMTMETALL	GEH0SAE1MTMEH2TAH0L
SAUCES(1)	SAO1SIH0Z
PINNOCHIO'S	PIH0NOW1KIY2OW2Z
WAIVERS	WEY1VER0Z
JANET	JHAE1NAH0T
BOSEMAN	BOW1SMAH0N
KRUPPA	KRAH1PAH0
SNAKING	SNEY1KIH0NG
FEUER	FYUW1ER0
PROSEKEY	PROW0SEH1KIY0
SIMMER	SIH1MER0
ADDISON	AE1DIH0SAH0N
VAGINAS	VAH0JHAY1NAH0Z
PENTECOSTAL	PEH2NTAH0KAO1STAH0L
BRAAKSMA	BRAA1KSMAH0
OCTAVE	AA1KTIH0V
ETHIOPIA'S	IY2THIY0OW1PIY0AH0Z
BANKRUPTING	BAE1NGKRAH2PTIH0NG
ZAMBIA	ZAE1MBIY0AH0
SUPERVOTING	SUW2PER0VOW1TIH0NG
DIVERGENT(1)	DIH0VER1JHAH0NT
BERTLING	BER1TAH0LIH0NG
STIPP	STIH1P
BRAIDS	BREY1DZ
NOTEHOLDER	NOW1THHOW2LDER0
RIGHT-WINGERS	RAY2TWIH1NGER0Z
DETOUR(1)	DIY1TUH0R
DOUBTFIRES	DAW1TFAY1ER0Z
DISPENSE	DIH0SPEH1NS
MANDEVILLE	MAE1NDAH0VIH2L
SELF-CONTROL	SEH2LFKAH0NTROW1L
COLONELS	KER1NAH0LZ
CARRIE	KEH1RIY0
BARRON	BAE1RAH0N
KNIEVEL	KAH0NIY1VAH0L
HILLIAN	HHIH1LYAH0N
STRINGENT	STRIH1NJHAH0NT
OPTIMIZE	AA1PTIH0MAY2Z
EXPEDIENT	IH0KSPIY1DIY0AH0NT
PALS	PAE1LZ
CALVO	KAA1LVOW0
TAKEMOTO	TAA0KEY0MOW1TOW2
BENNO	BEH1NOW0
VULCAN'S	VAH1LKAH0NZ
BERSTEIN(1)	BER1STAY0N
KYRGYZSTAN	KIH1RGIH0STAE2N
WRIGHTSON	RAY1TSAH0N
HOSEA	HHOW0SIY1AH0
SEGMENT'S	SEH1GMAH0NTS
ZANGARI	ZAA0NGGAA1RIY0
LEFTHANDED	LEH2FTHHAE1NDIH0D
JOHNSEY	JHAA1NZIY0
TRYOUTS	TRAY1AW2TS
FROHNMAYER	FRAO1NMAY2ER0
JARED	JHEH1RIH0D
ELDRIDGE	EH1LDRIH2JH
ACCUSTOMED	AH0KAH1STAH0MD
ZACARIAS	ZAA0KAA0RIY1AH0Z
BUYBACKS	BAY1BAE2KS
RIMS	RIH1MZ
BRANCHING	BRAE1NCHIH0NG
FINKLE	FIH1NGKAH0L
ZAPRUDER	ZAH0PRUW1DER0
ABKHAZIANS(1)	AE0BKAE1ZIY0AH0NZ
FLEXTIME	FLEH1KSTAY2M
KAINER	KEY1NER0
DIGITS(1)	DIH1JHIH0TS
PHOTRONICS	FOW2TRAA1NIH0KS
HERO'S	HHIH1ROW0Z
WILMETH	WIH1LMIH0TH
BLATCHLEY	BLAE1CHLIY0
POMPA	PAA1MPAH0
CORREALE	KAO1RIY0AH0L
MORES	MAO1REY2Z
BUENROSTRO	BWEH0NROW1STROW0
AUGSPURGER	AW1GSPER0GER0
BLACKHURST	BLAE1KHHER0ST
PRIVATION	PRAY0VEY1SHAH0N
REFRIGERATE	RIH0FRIH1JHER0EY2T
ETERNAL(1)	IY0TER1NAH0L
NEARER	NIH1RER0
ZAPMAIL	ZAE1PMEY2L
INSISTENT	IH2NSIH1STAH0NT
DOMINOES	DAA1MAH0NOW2Z
OSTENTATIOUSLY	AA2STAH0NTEY1SHAH0SLIY0
ADAMS'	AE1DAH0MZ
SILVERIA	SIY0LVEH1RIY0AH0
NEUSTADT	NUW1SHTAE0T
GOOD-NATUREDLY	GUH1DNEY1CHER0DLIY0
NEWCASTLE	NUW1KAE2SAH0L
SCHMICK	SHMIH1K
WYKLE	WAY1KAH0L
GROH	GROW1
FURTHEST	FER1THAH0ST
JEWEL	JHUW1AH0L
CRUDELE	KRUW1DAH0L
LAVAN	LEY1VAH0N
RECUPERATION	RIH0KUW2PER0EY1SHAH0N
DISPERSIVE	DIH0SPER1SIH0V
MINUTELY	MIH1NAH0TLIY0
MIDTOWN	MIH1DTAW2N
PEACHES(1)	PIY1CHIH0Z
ROSTON	RAA1STAH0N
COLLECTIVIST	KAH0LEH1KTIH0VIH0ST
WHYS(1)	HHWAY1Z
ALBER	AE1LBER0
SHINBEIN	SHIH1NBAY2N
SELIN	SEH1LIH0N
EGG	EH1G
ATHENE	AE2THIY1N
MENDACITY	MEH0NDAE1SIH0TIY0
RECEPTIONISTS(2)	RIH0SEH1PSHAH0NIH0S
DYNEER	DIH0NIH1R
TEZENO	TEY0ZEY1NOW0
TRICKED	TRIH1KT
QUARRELS	KWAO1RAH0LZ
OF(1)	AH0V
DOGLE	DOW1GAH0L
JOAQUIM	WAA2KIY1M
TURNQUIST	TER1NKWIH0ST
CUMMINGS	KAH1MIH0NGZ
SCHNIEDER	SHNAY1DER0
MANEY	MEY1NIY0
ALIMA	AA0LIY1MAH0
CORNFLOWER	KAO1RNFLAW2ER0
EPROMS	EH1PRAH0MZ
CHLORIS	KLAO1RIH0S
CAIRN	KEH1RN
PICKELL	PIH1KAH0L
KETCH	KEH1CH
CREGER	KRIY1JHER0
CENTAUR'S	SEH1NTAO2RZ
ALLELUJA	AE2LEH0LUW1YAA0
FLOODLIGHT	FLAH1DLAY2T
AMIGA	AH0MIY1GAH0
AQUILAR	AA0KWIY0LAA1R
ARIAN	AE1RIY0AH0N
HISSELF	HHIH2SEH1LF
BYPRODUCTS	BAY1PRAO2DAH0KTS
FASON	FAE1SAH0N
HISEL	HHIH1SAH0L
HANSER	HHAA1NSER0
KENDZIOR	KIH0NJHIY1ER0
QUAZULU	KWAA2ZUW1LUW0
RESTRICTIONS	RIY0STRIH1KSHAH0NZ
SHELDON	SHEH1LDAH0N
GLIMPSE	GLIH1MPS
WANTA	WAA1NTAH0
POTRATZ	PAA1TRAH0TS
METROPOL'S	MEH1TRAH0POW2LZ
ARENZ	AA1REY0NZ
PORTFOLIO'S	PAO0RTFOW1LIY0OW2Z
PAULHUS	PAW1LHHIH0S
SESTITO	SEH0STIY1TOW0
SQUIRT	SKWER1T
MANAC	MAE1NAE0K
MCELVEEN	MAE1KAH0LVIY2N
FISCHER'S	FIH1SHER0Z
INFOWORLD	IH1NFOW0WER2LD
CENTREX	SEH1NTRAH0KS
METROPOLITAIN	MEH2TRAH0PAO1LAH0TAH0N
EQUALING	IY1KWAH0LIH0NG
ESKELSON	EH1SKIH0LSAH0N
CONTEST'S	KAA1NTEH0STS
VAGUENESS	VEY1GNIH0S
CAROL	KAE1RAH0L
CITIZENS	SIH1TAH0ZAH0NZ
KAFER	KEY1FER0
WAXMAN'S	WAE1KSMAH0NZ
RENNO	REH1NOW0
BORROR	BAO1ER0R
WILLIE	WIH1LIY0
SKAINS	SKEY1NZ
SANTILLI	SAA0NTIY1LIY0
PIGGYBACKING	PIH1GIY0BAE2KIH0NG
PRIEBE	PRIY1B
JAYCOX	JHEY1KAA2KS
REPAYING	RIY0PEY1IH0NG
GILLISPIE	GAH0LEH1SPIY0
COMPLICATE	KAA1MPLAH0KEY2T
HOMANN	HHOW1MAH0N
PARCELS	PAA1RSAH0LZ
ARCHER'S	AA1RCHER0Z
RAYBOULD	REY1BOW2LD
DUNITE	DUW0NAY1T
COMMUTES	KAH0MYUW1TS
DRAYER	DREY1ER0
PIPETTES	PAY2PEH1TS
DELUDES	DIH0LUW1DZ
RIPPLINGER(1)	RIH1PLIH0NGER0
BUTARE'S	BUW0TAA1RIY0Z
LEFTWING	LEH1FTWIH2NG
GALORE	GAH0LAO1R
PENICILLINS	PEH2NAH0SIH1LAH0NZ
MALHOTRA	MAE2LHHAA1TRAH0
LYBECK	LAY1BEH2K
AMISON	AE1MIH0SAH0N
STANLEY'S	STAE1NLIY0Z
EGGSHAPE	EH1GSHEY2P
PUNGENTLY	PAH1NJHAH0NTLIY0
MUCHOW	MAH1CHOW0
SURNAME	SER1NEY2M
DOGGIE	DAO1GIY0
UPDRAFT	AH1PDRAE2FT
GATEWAYS	GEY1TWEY2Z
HATMAKER	HHAE1TMEY2KER0
RAFTS	RAE1FTS
JUSTMAN	JHAH1STMAH0N
SMARTY	SMAA1RTIY0
SNAGGING	SNAE1GIH0NG
LIPHAM	LIH1FAH0M
